댓글 작성자,댓글 내용,댓글 작성 시간
도넥,띵보가 울산 나가서 자기가 홍콩에서 실패하고 울산감독 꺼억 ㅋㅋ,2024-09-30 17:54:34
3KKK,팬들은 무조건 옳다도 아닌듯,2024-09-30 17:54:36
그티뉴,그냥 클럽에나 신경쓰세요..,2024-09-30 17:54:43
토트넘팬,전형적인 축구인들 마인드,2024-09-30 17:54:45
