댓글 작성자,댓글 내용,댓글 작성 시간
가온해,후티도 제거해야지 예맨도 이제는 정리해야해 이란은 안끼는데없고 테러집단이야,2024-09-30 14:25:07
훈,술에 강한 지도자지,2024-09-30 14:25:19
Rosa,이스라엘 파이팅 ~,2024-09-30 14:25:22
뽀율s,정작 돈줄인 카타르 사우디 UAE 는 조용함 ㅋㅋ,2024-09-30 14:25:27
영홉스,예멘은 이때 반군을 몰아내고 통일을 하지 뭘하나?,2024-09-30 14:25:32
dmsqkswl,간첩들특 우리나라 둘로갈라놓은 중국은 욕안함 ㅇㅈ?,2024-09-30 14:25:39
방귀뀐놈이똥싼다,그거 아냐 적그리스도는이스라엘인걸?,2024-09-30 14:25:44
Hansoo Jang,봐요 저런 괴담 퍼트리는 넘부터 북한으로 보내야,2024-09-30 14:25:46
Hie-Eun Lee,아파트 아래에 헤즈볼라 이지트가 있으니 때렸겠지,2024-09-30 14:26:01
classictutor,그럼 이라크에 미사일을 판다는게 말이되나?,2024-09-30 14:26:06
Theophilus ,"죄전쟁, Sinwar는 왜 처단 못하고 있는지?",2024-09-30 14:26:12
C C,"ㅄ 유사 민주주의 국가 지금 k황금방패 반대 표 삭제되고 있는중 찬성표만 남아 있는 상태다 다시 반대표들 던지러 가라 그리고 개정된 아청법 범위에 모욕, 명예훼손, 사자명예훼손 추가됨",2024-09-30 14:26:12
living kim,예멘의 후티반군 공격은 사우디가 눈감아주지 않고서는 불가능할 것 같은 데,2024-09-30 14:26:12
이정훈,사우디는 이스라엘보다 이란을 더 싫어하니깐 조용한거고,2024-09-30 14:26:15
아리까리,대한민국 검찰 보내면 전부 끝장낼수있을텐데..,2024-09-30 14:26:21
문재인,이미 한국에는 제일 강한지도 자가있다.,2024-09-30 14:26:26
남자김성용,멋진나라야. 이스라엘 같은 지도자가 필요한 대한민국이다,2024-09-30 14:26:28
방귀뀐놈이똥싼다,이스라엘은 메시아를 기다린다 그러므로 적그리스도 이다,2024-09-30 14:26:35
뽀율s,카타르 UAE 사우디가 돕지 않는이상 헤즈볼라 백기들어야함,2024-09-30 14:26:35
Theophilus ,뜸들이기!,2024-09-30 14:26:40
GoKoTOUR,후티 대변인 밈도 이제 고인드립이 될려나,2024-09-30 14:26:46
이형근,지지율 25% 는 허약한 지도력이 아닐까,2024-09-30 14:26:55
신사임당,이스라엘봐라 공중권에서 그냥 다 쳐발른다,2024-09-30 14:26:57
훈,네타냐후는 전쟁이 길어지길 원한다 ㅎㅎ,2024-09-30 14:26:59
김지훈,중요한건 일본의 마음이라는 대통령 편드는 친일매국노 채팅창에 많이 보이네~ 세상이 참 좋아졌어. 옛날이였으면 암살당했을텐데.....,2024-09-30 14:27:01
dmsqkswl,근데 저동네는 너무 복잡해 ,2024-09-30 14:27:02
디톡스,한국말 잘 못해여,2024-09-30 14:27:14
Y모델,이스라엘은 중동의 미국인데 왜자꾸 나대는거지 ,2024-09-30 14:27:25
문재인,역사상 한국에서 제일 강한 지도자.가 있다,2024-09-30 14:27:36
디톡스,저아저씨 어어 좀 그만하라고 해줘,2024-09-30 14:27:37
뽀율s,이집트는 왕년에 덤볐다가 땅뺏긴적있어서 이스라엘한테 안덤빔 ㅋㅋㅋ,2024-09-30 14:27:49
dmsqkswl,일단 이스라엘은 공군력이 장난 아니잖아 ,2024-09-30 14:27:49
Randy Rhoads,결국 목표는 이란참전 끌어내서 패주는거겠지.... 미국도 말리는척하면서 어쩔수 없었다는 식으로 같이 패줄거고. ㅋㅋ,2024-09-30 14:27:51
Y모델,그냥 전부 석기시대로 만들어서 시비 못걸게 해라 ,2024-09-30 14:27:52
dmsqkswl,그냥 공군력으로 다처바름,2024-09-30 14:27:57
Earendel,불바다 보러 왔더니,2024-09-30 14:28:17
Earendel,말만 존나 많네,2024-09-30 14:28:19
신사임당,미사일 날린 댓가 받아야지,2024-09-30 14:28:20
Earendel,개노잼,2024-09-30 14:28:21
아늘한,하마스가 처들어 오는거 묵인했다는 소리네 ,2024-09-30 14:28:31
디톡스,전쟁이 재밌냐,2024-09-30 14:28:32
뽀율s,예전에 이집트가 이란믿고 덤볐다가 이스라엘한테 땅뺐겼다가 돌려받았자나 ㅋㅋㅋ,2024-09-30 14:28:38
ᄉᄅ,미필으 ㄴ안되,2024-09-30 14:28:39
dmsqkswl,그래서 형들 이란 참전한데?,2024-09-30 14:28:43
소리국민의,정말 대단하다 이스라엘 존경한다,2024-09-30 14:28:51
이정훈,이스라엘 F35만해도 40대있는데 전투기하나없는 이란이 뭘한다고 그냥 가만히 있어라 이란아,2024-09-30 14:28:58
디톡스,@Earendel 제발 인간이 되라,2024-09-30 14:29:01
디톡스,제발,2024-09-30 14:29:03
문재인,하마스 처들어온게 아니라 하마스내 이스라엘 스파이가 저지를 테러임,2024-09-30 14:29:05
엽이,포쓰 쩐다,2024-09-30 14:29:06
Randy Rhoads,미사일 20만개 있으면 한번에 쏘지 ㅋㅋ 방공망이 막을수 있는 만큼씩 나눠쓰냐 ㅋㅋ,2024-09-30 14:29:06
차무식,슨상님 알라신 전라지구 폭격 최후통첩 식량 물 전기 철조망 국경장벽 봉쇄,2024-09-30 14:29:08
dmsqkswl,난 이란 참전하는순간 아작날거같은데,2024-09-30 14:29:10
디톡스,입은 그러라고 달린게 아냐,2024-09-30 14:29:13
아늘한,"모사드가 정보력이 저리 대단한데, 처음에 하마스가 처들어오는 걸 모를리 없다",2024-09-30 14:29:17
Randy Rhoads,경험치 먹여주나,2024-09-30 14:29:18
문재인,하마스내에 이스라엘 스파이가 하마스 내에서 이스라엘 테러저질른것임,2024-09-30 14:29:34
soonja Kim,네타냐후 최고입니다 ...악의 축 하마스 헤즈볼라 후티반군 신속하고 깨끗히 제거해야 합니다.....,2024-09-30 14:29:36
문재인,이스라엘의 자작극이다,2024-09-30 14:29:39
신사임당,미사일 쏘는순간 위성 다 포착하고 부근 폭격 다날릴거임,2024-09-30 14:29:43
용화,저 나라는 방공 미사일도 없이 들이 댔을까? 아니면 미사일에 들어간 반도체가 미국설계라서 일시 먹통시켜서 저럴까 궁금해짐.,2024-09-30 14:29:46
Duke,속보)이란 참전결정 순항미사일발사임박,2024-09-30 14:30:01
kyunghwan,"중국 댓글부대 실체 확인,,경찰 수사 개시",2024-09-30 14:30:05
Randy Rhoads,쟤네들은 방공망이 필요없이... 민간이 고기방패뒤에 숨어서 쏘는데,2024-09-30 14:30:10
영웅본색,나도 법카로 초밥 :sushi: 먹고 싶다 괴물 아,2024-09-30 14:30:15
뽀율s,이스라엘이 원하는 첫번째 목표는 가자지구 모두 이스라엘영토 만드는거임,2024-09-30 14:30:19
dmsqkswl,이란은 참전하는순간 미항공모함 가만안있을듯,2024-09-30 14:30:22
dmsqkswl,이란 참전하면 바로 미국도 참전함,2024-09-30 14:30:29
kyunghwan,"중국 댓글부대 실체 확인, 경찰 수사 돌입",2024-09-30 14:30:33
kyunghwan,"중국 댓글부대 실체 확인, 경찰 수사 돌입",2024-09-30 14:30:38
kyunghwan,"중국 댓글부대 실체 확인, 경찰 수사 돌입",2024-09-30 14:30:45
문재인,이스라엘 넘들이 팔레스타인 원주민들 학살 한거랑 마찬가지,2024-09-30 14:30:46
김상기,이라크 꼴을 봣는데 이란이 미치지 않고서야 ㅋㅋㅋ,2024-09-30 14:30:52
