제목,채널 명,스트리밍 시작 시간,댓글 작성자,댓글 내용,댓글 작성 시간
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-17 18:35,YTN,2022-07-11 18:19:59Z,KenBell KR,한국여자가 너보다 우수함,2024-09-17 18:35:29
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-17 18:35,YTN,2022-07-11 18:19:59Z,테콘,"국경없는의사회, 러시아 진출 32년 만에 활동 중단",2024-09-17 18:35:32
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-17 18:35,YTN,2022-07-11 18:19:59Z,정재성,아웃렛.,2024-09-17 18:35:33
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-17 18:35,YTN,2022-07-11 18:19:59Z,허경영강연 검색,:yt:이게 고어텍스 멤브레인이 셀 멤브레인과 동일한 거란 말이야. 세포막 그러니까 세포가 굉장히 작지? 여기에 막이 있어요. (허경영강연 1455회),2024-09-17 18:35:34
