제목,채널 명,스트리밍 시작 시간,댓글 작성자,댓글 내용,댓글 작성 시간
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,박사장,말도 안되는소리 하지마라,2024-09-15 21:54:23
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,HUGO BOSS,고급진 치킨은 음...,2024-09-15 21:54:24
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,록님,아빠야 니가 여기서 이미지 메이킹해봤자 아무도 너한테 관심 안줘,2024-09-15 21:54:25
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,까탈레나,날씨가 정말 미쳤다,2024-09-15 21:54:27
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,록님,정신 차려라 ㅎㅎㅎ,2024-09-15 21:54:30
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,저승에서이승까지,:face-green-smiling::face-green-smiling::face-green-smiling::face-green-smiling:짭세는 내돈이 용가리 통뼈냐:strawberry: 아주 파출소 관객 이다 :strawberry: 파출소 소장이 외 오냐 ㆍ 상태가 메롱 이니까 파출소 가는거 아닌가 돈빨 파츈소,2024-09-15 21:54:32
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,singh,did you go away,2024-09-15 21:54:34
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,아빠,내가 강남사는게..그렇게 욕얻어먹을 일이냐?,2024-09-15 21:54:35
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,ーCrazyδ蜚Kori,간절한 기도대로 될지어다..아멘..,2024-09-15 21:54:38
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,제니,쪽팔린 줄은 아나보넹~ ㅎㅎ 고릴라 할망구~! ㅎㅎ,2024-09-15 21:54:41
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,혜주,록아 웅 방금 상추님이 명태전 영상 보여달라고해서~ 대댓글 왓거든,2024-09-15 21:54:46
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,기지개,"북한아니여 , 조선이여 , 여긴 대한민쿡이거 ,, ㅎㅎㅎㅎㅎㅎㅎㅎ",2024-09-15 21:54:46
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,허경영강연 검색,:yt:그래 가지고 전국에 풍수 보는 사람들이 와가지고 우리 증조할아버지 묘보러 관광버스로 대전에서 와서 우리 선조들 묘 강의를 해줘 (허경영강연 357회),2024-09-15 21:54:46
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,까탈레나,룬 거니 절대 못지않게,2024-09-15 21:54:46
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,아빠,록탱이가 내가 강남사는게 부러워서 저러나?,2024-09-15 21:54:51
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,HUGO BOSS,콜건희만 먹는다는...,2024-09-15 21:54:52
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,Begger0,여자요 여자면 남자하고 애부터 나시오. 거기 그 전까지는 희망 없는 인간이오,2024-09-15 21:54:55
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,도다리,부마 항쟁 ㅡ 박정희 정권 붕괴의 도화선,2024-09-15 21:54:56
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,성상납 이준석_윤석열정권 1등 공신,":face-red-droopy-eyes:국민의힘, 동네 슈퍼도 운영할 능력 없다",2024-09-15 21:55:04
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,아빠,내가 록탱이한테 왜 강남사는 걸 인증해야 되지?,2024-09-15 21:55:09
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,록님,"얼굴 한 번 깐적도 없이 맨날 중국 여배우사진넣고 아빠,엄마,백수님 이딴 닉으로 채팅창에서 24시간 노는 주제에",2024-09-15 21:55:15
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,HUGO BOSS,꼬꼬샤넬... 반반.,2024-09-15 21:55:18
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,록님,가소롭네.ㅋㅋㅋㅋ,2024-09-15 21:55:24
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,아빠,그러지 않나?,2024-09-15 21:55:29
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,팔복김,그것도 설날 추석날 없어지고 다시만든게 단 하루 쉰다고 합니다,2024-09-15 21:55:30
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,록님,혜주야 먹음직 스럽다 ^^,2024-09-15 21:55:36
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,강정원,형들 나 고시원 에서 컵라면 먹는다 소주랑////////////////////////////////////////////////////////,2024-09-15 21:55:36
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,도다리,부마 항쟁 ㅡ 대한민국의 민주주의가 한 단계 도약하는 계기 ㅡ,2024-09-15 21:55:44
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,시로하로,광주. 먼저 알려주노 멀티 북한이라 그러노,2024-09-15 21:55:45
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,singh,it's ok if you don't want to answer,2024-09-15 21:55:47
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,아빠,내가 광주에 사는 거지한테 왜 강남사는 걸 인증하지?,2024-09-15 21:55:47
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,록님,혜주야 머금직 스럽다 ㅎㅎ,2024-09-15 21:55:49
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,三只狐狸,조선민주주의인민공화국 강성대국    김여정:red_heart::red_heart::red_heart:,2024-09-15 21:55:52
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,록님,먹,2024-09-15 21:55:53
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,허경영강연 검색,:yt:풍수하는 사람들이 왜? 풍수지간들이 자기 가르키는 사람들 한 차씩 몇 차씩 데리고 와서 내가 어릴 때부터 그러면 동네는 풍수지간들이 몰려오는 곳이야 지금도 그래요. ,2024-09-15 21:55:56
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,록님,음직이 금지어네 ㅋㅋ,2024-09-15 21:55:58
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,시로하로,광주. 먼저 알려주노 멀티 북한이라 그러노,2024-09-15 21:56:01
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,성상납 이준석_윤석열정권 1등 공신,":glasses-purple-yellow-diamond:검찰, 이재명 죽이기 기소 위해 증언 조작",2024-09-15 21:56:04
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,혜주,별개 금지어다 ㅋㅋ,2024-09-15 21:56:07
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,국어선생,팔복님 오늘도 팔복파워 보여주세요. 그 부처도 울고 간다는 팔복파워요,2024-09-15 21:56:10
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,ーCrazyδ蜚Kori,말대로..이루어질 것이다..아멘..~~!!,2024-09-15 21:56:15
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,아바타가그런거야,모두 삼귀의를~!,2024-09-15 21:56:18
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,혜주,이래서 시크릿을 안볼수가 없어 ㅋㅋ,2024-09-15 21:56:29
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,록님,그러게 ㅋㅋ 별걸 다 금지어로 해놨어,2024-09-15 21:56:36
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,김준철,김건희는 미치지 않고서는 못할 일을 서슴지 않고 왜 계속할까?,2024-09-15 21:56:43
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,록님,여기 하도 성드립 난무해서 그런가,2024-09-15 21:56:45
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,아바타가그런거야,음... ,2024-09-15 21:56:50
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,혜주,임브언니?,2024-09-15 21:56:57
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,팔복김,국어쌤 미코아나운서 파워 화이팅,2024-09-15 21:56:58
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,기지개,"여의도 300마리 개들 5일 쉬는데 보너스 400넘게 받아 처묵거 ,, 하는거 하나도 없으면서 , 일당 50넘게 받아처묵는데 , 그냥 누워 받아처묵는 이런 세수 낭비는 하지마러 , ~~~ ",2024-09-15 21:56:59
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,👈이프샤.정록이 아버님?혹.뽀샵전 사진?,.록님이가..금지어인지..아나보네...챗창 두개 쓰는 알바라느거지,2024-09-15 21:57:02
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,허경영강연 검색,:yt:거기가 교육장이야 산교육장 이런 데는 부자가 나온다 이런 데는 세계 황제가 나온다 뭐 이런 식인데 (허경영강연 357회),2024-09-15 21:57:07
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,성상납 이준석_윤석열정권 1등 공신,":face-red-droopy-eyes:국민의힘, 전문의 진료비 350%, 응급실 900% 올려",2024-09-15 21:57:08
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,Begger0,남자가 여자의 얼굴이 밟허서 자신의 일을 못하면 그게 무슨 꼴이겠소,2024-09-15 21:57:14
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,록님,혜주야 임브라이언 많이 아파보여,2024-09-15 21:57:20
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,👈이프샤.정록이 아버님?혹.뽀샵전 사진?,난 조션족이 금지어인지 모르고 쓴게 몇년인데,2024-09-15 21:57:35
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,팔복김,전생에 양귀비 국쌤,2024-09-15 21:57:39
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,혜주,치료가 시급해 ㅋㅋ,2024-09-15 21:57:41
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,국어선생,혜주 임브라이언관리 제대로 안하냐,2024-09-15 21:57:44
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,아바타가그런거야,"무아법핵심-몸은 내가 아니다,, 나의 것이 아니다,, 나의 자아가 아니다,, 마음은 내가 아니다,,, 나의 것이 아니다, 자아도 내가 아니다,, ,이와같이 관찰하면,, 애욕에서 벗어나,, 해탈한다, ,()",2024-09-15 21:57:46
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,👈이프샤.정록이 아버님?혹.뽀샵전 사진?,맨날 그드립 ㅋㅋㅋㅋㅋ,2024-09-15 21:57:46
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,金光俊,允许 使用 归根结底,2024-09-15 21:57:55
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,三只狐狸,여긴 우리 땅이야,2024-09-15 21:57:56
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,소판돈,도덕성이 없어 이나라는 돈없는 관리자가 늙은사람 대리고 일하려니. 짹금주고 오래일해야함. ㅋ,2024-09-15 21:57:56
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,👈이프샤.정록이 아버님?혹.뽀샵전 사진?,얌마 좀 바꿔라 사진만 바꾸지 말고 ㅋㅋㅋㅋ,2024-09-15 21:57:57
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,록님,사람이 저렇게까지 나락으로 갈 수 있나 싶다,2024-09-15 21:57:57
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,아바타가그런거야,잘하시는데? 윤대통령님,2024-09-15 21:58:00
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,Anika,三只狐狸 hi:face-red-heart-shape::face-red-heart-shape::face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:,2024-09-15 21:58:00
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,아바타가그런거야,이상하네,2024-09-15 21:58:01
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,아바타가그런거야,갠적으로,2024-09-15 21:58:03
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,아빠,정록이 아버님…고생많으십니다..ㅋㅋ,2024-09-15 21:58:05
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,혜주,잘릴때가 됫는데 꿈틀거리네 게속,2024-09-15 21:58:06
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,SUNG RYEUL OH,"양주조씨 ...대한항공 조씨 문강공파,여도 정미7적,,",2024-09-15 21:58:07
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,baek yuns,팔복킴 왔남,2024-09-15 21:58:09
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,록님,여기 ytn채팅창이 사람 여럿 버려놓음,2024-09-15 21:58:11
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,성상납 이준석_윤석열정권 1등 공신,:face-green-smiling:김건희 국민의힘 공천 이쁜이수술,2024-09-15 21:58:12
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,아빠,록탱이 때문에 고생이 많아요..ㅎㅎ,2024-09-15 21:58:15
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,허경영강연 검색,:yt:이상스럽게 우리 증조 할아버지 에서 태어난 나만 대통령에 계속 나가고 세계 황제 소리를 지금 듣고 있지? 이거 이상한 일이 아닙니까? (허경영강연 357회),2024-09-15 21:58:18
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,맨티,칭대가 최고야..,2024-09-15 21:58:18
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,팔복김,전생에 현종은 나,2024-09-15 21:58:21
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,👈이프샤.정록이 아버님?혹.뽀샵전 사진?,그다음..드립 내가 해보까? ㅋㅋ ..상태가 않좋아요 ㅋㅋㅋ,2024-09-15 21:58:21
